tweet_id	tweet	categoria
1407463675905167370	Quem é esse rei ja virei fã, a lenda so falou a verdade 👏👏👏👏	1
1407447387472334852	Finalmente dei uma faxina bonita na casa! A sensação de alívio é maravilhosa 🤭	0
1407508991303892993	A incrível arte de flertar com várias pessoas e n ficar com nenhuma	0
1407473645983764480	Babo muito em Thaylane cr, q preta maravilhosa	0
1407916016278163456	Bolo da minha tia ficou muito feio mas oq tinha d feio tinha q gostoso, misericordia que bolo maravigold	26
1407886501917167624	Aí que saudade de dançar um forró até amanhecer o dia🥺✋LIVE ELBA E JULIETTE	24
1407812655419736064	kkkkkkkkkk amei	10
1407860716246339586	tenho medo de fazer sexo	12
1407790583448547329	Alguém rouba o celular do meu irmão? eu pago De verdade não aguento mais ele escutando a mesma musica, repetidas vezes, todos os dias véi to enlouquecendo e pegando aversão a funk novamente	9
1407768972460806152	Kkkk sorte a dela queria encontrar meu empresário árabe	6
1407853819833225216	tadinho dos animais de rua devem tá super assustados	12
1407837211161251845	wilson maior lenda do etevavse vc discorda problema seu	27
1407452924930932738	Nada como começar o dia com uma brincadeira e termina o dia com a política envolvida  kkkkkk	1
1408059333108113411	Enquanto eu estou assim e passo por isto vejo as pessoas com quem eu desabafei felizes e sem o minimo de compaixão	26
1407882132140314633	eu chorei tanto q to me sentindo fraca	22
1407526817322487818	mãe indignada por eu te me machucado 🙂 deliciam	2
1407503210487717891	incrível como os pais não fazem nem questão de te ouvir p tentar te entender	0
1407498843919429635	MARAVILHOSOS
1407744833356275716	tô em dúvida se vou pra rdi ou não	5
1407522745978609673	A mulher que conseguir fazer isso é incrível	0
1407758062207881220	Queria uns amigo hippie	7
1407869292985696257	Eu tô numa fase estranha Que coisas ruins não param de me acontecer Eu mantenho a cabeça erguida Porque o arco-íris vem depois de chover Eu fumo pra fugir daqui, meu sonho era ser adulto Hoje meu sonho é voltar a ser kid Sem responsa, sem estresse em tudo	17
1407852576322826248	Só livro MF, Biel e Martinelli. Os demais fizeram um 2T indigno de time grande, sendo amassados. Fred e Nenê péssimos! LH apavorado, Kayke fazendo firula, até o Nino falhou no lance do gol. Danilo Barcelos é uma avenida. O 1T foi até bom, mas quem busca só empatar acaba perdendo.	12
1407861227179675648	porra kimmi ta chorando q so c medo de fogos	12
1407758607085707266	queria eu entao nao ser magra desse jeito 🙏🏽	7
1407746209608052745	Finalmente uma explicação! Sempre fiquei confuso quanto à este tema	5
1407812395079245824	Botafogo é uma vergonha,  venderam o cara...agora vamos ter q aguentar Rafael Carioca do jeito que o chamusca queria...	10
1407856272049901572	qnd eu sinto dor/fico doente nossa me da uma depressão parece q eu vou morrer pq fico muito preocupada e quero logo alguem pra cuidar de mim, ainda bem q nao adoeço muito	12
1407873373766623234	meu corpo com manchas por causa da ansiedade fdp te odeio	17
1407503350321631234	— Por favor, não faça isso — disse ele. — Por favor, não se afaste de mim porque você está preocupada com as opiniões de racistas e idiotas. Afaste-se de mim porque você me odeia — disse ele. — Diga-me que você acha que eu sou estúpido e feio e eu juro que isso machucaria menos.	2
1408066706635825153	macris é a melhor levantadora do momento e digo isso com tranquilidade	20
1407879881682214915	Cerveja, só depois que o São Paulo conquistar uma vitória! Eu resolvi esperar ! 😒	19
1407883401974124545	Tudo que vejo com Gerson eu começo a chorar, que saco	22
1407737826712637442	Aquela dúvida se entro na academia ou no circuito	5
1407890323859193856	Quando eu estava lendo não conseguia parar de pensar nisso, e quando vi que estava errada o alívio foi &gt;&gt;&gt;&gt;&gt;&gt;	20
1407448246407110656	EU PAREI PRA PENSAR Q EU NUNCA MAIS IREI NUMA FESTA DE 15 ANOS PQ TODAS MINHAS AMIGAS JA FIZERAM 15 ANOS NA PANDEMIA	1
1407688315264962562	No passado Lula disse q FHC quebrou o Brasil agora o mesmo busca apoio do FHC, além de Ladrão Lula também é muito cínico!Eu acho q esses políticos para ganhar eleições fazem pacto até com o 😈😂😂😂😂😂😂😂	4
1407748897196449795	depois deles outro tipo de caos se instaura	5
1407762375902703618	to com medo de comprar ingresso pro velozes e furiosos e me decepcionar	8
1407897901582389248	eu so assim tenho até dó do jp	26
1408075190748205056	O United já contratou alguns jogadores caros que deram errado por uma série de fatores. O que dá alívio com Sancho é o fato de já se dar bem com vários membros do elenco, ter morado em Manchester, a vontade visível de se juntar ao clube... diminui as chances de não corresponder.	20
1408062322153644041	é pra fazer surpresa de quem é e fazer interagirem com o tweet e aumentar o alcance, uma puta estratégia de marketing	23
1407867873960284160	LUTO PELO NALDO, LUTO POR TODAS AS VIDAS PERDIDAS ATÉ ESSE DIA. amem as pessoas enquanto vc pode e no dia da despedida vc ser grata por todos os momentos. #nuncafoisoumjogo	16
1407880298470199299	Arrumei todo o meu quarto parabéns	19
1407757911598718979	eu queria n ficar decepcionada c os bgl q esse fala pq não é surpresa mas td vez eu fico 😑😑 odeio q chegue em mim, prefiro nem saber	7
1407885586682322946	Aiiii que saudade d’ocê	24
1407918638829551617	O nome do nosso grupo já é weishenneies…elas estão a um passo…tenho mais dó do meu melhor amigo eu também falo dos meninos o tempo todo pra ele e nem kpop a criatura escuta	26
1407844807544868871	mano do ceu eu nunca me senti tao constrangida quero sumir	10
1407872365741154311	Mano tô todo bobo com meu papel de parede animado que fiz voltando do curso kkkkkkkkkk	11
1407852993958006787	Pensando seriamente se vou dormir com a minha mãe kkk oh medo que não está me fazendo pregar o olho	12
1407859961770688516	Neymar contra Colômbia, Neymar apanhando o jogo todo, eu já vi essa história e tenho medo de se repetir	12
1407885542432313344	Saudade dela na real	24
1407833229919408137	Bragantino campeão, tem alguém que discorda ?	27
1408047516688564226	eu sei q o tamlin vai fazer algo MUITO ruim e que a feyre vai passar a odiar ele e provavelmente eu tambem, mas, *no exato momento*, eu nao sinto o minimo de empatia pelo rhysand 😄😄	26
1407868187379527688	eu adoro emojis	16
1407867448540422148	deus me livre estar apaixonado e muito menos namorando	16
1407872925613625352	Essa ansiedade acabando cmg e nem tempo consigo pra ir no psicólogo  Pq se eu pudesse pagar um particular já teria ido..	17
1407857378880634882	Mais um dos textos dele... que dor.	13
1407501052820213773	odeio me comparar	2
1407446465711116292	BORA!!!	1
1407759738381742081	Eu to numa vontade absurda d desativar todas as minhas redes sociais e sumir p meses	7
1407923021504028675	12 de junho Fizeram uma festa surpresa pra mim e pra minha amg  Eu guardo esse dia no meu coração 🥺🥺	23
1407778688108838913	Lamento decepciona-los mas aos 16 anos eu tava só no vucovuco	8
